F-volt,V-volt,P-volt,Object,Object type
0,1.036168133,4.03714565,EH,W
4.389051808,4.281524927,4.164222874,EH,W
4.428152493,4.442815249,4.169110459,EH,W
4.437927664,4.472140762,4.173998045,EH,W
4.447702835,4.472140762,4.173998045,EH,W
4.447702835,4.486803519,4.173998045,EH,W
4.45259042,4.491691105,4.169110459,EH,W
0,0.581622678,3.885630499,EH,W
0,0.606060606,3.89540567,EH,W
0,0.620723363,3.880742913,EH,W
4.291300098,4.007820137,4.154447703,EH,W
4.491691105,4.662756598,4.17888563,EH,W
4.49657869,4.643206256,4.188660802,EH,W
4.501466276,4.638318671,4.198435973,EH,W
0,0.488758553,3.919843597,EH,W
0,0.518084066,3.910068426,EH,W
0,0.537634409,3.939393939,EH,W
4.032258065,3.734115347,4.12512219,EH,W
4.501466276,4.687194526,4.208211144,EH,W
4.506353861,4.657869013,4.217986315,EH,W
4.516129032,4.657869013,4.213098729,EH,W
4.516129032,4.613880743,4.217986315,EH,W
4.516129032,4.594330401,4.217986315,EH,W
0,0.405669599,3.914956012,EH,W
0,0.425219941,3.968719453,EH,W
0,0.45943304,3.954056696,EH,W
0,0.493646139,3.94916911,EH,W
4.516129032,4.750733138,4.237536657,EH,W
4.535679374,4.804496579,4.242424242,EH,W
4.535679374,4.765395894,4.237536657,EH,W
4.545454545,4.740957967,4.242424242,EH,W
4.550342131,4.731182796,4.252199413,EH,W
0,0.478983382,3.94916911,EH,W
0,0.464320626,3.998044966,EH,W
0,0.50342131,4.002932551,EH,W
0,0.537634409,4.002932551,EH,W
0,0.576735093,3.99315738,EH,W
4.442815249,4.789833822,4.242424242,EH,W
4.530791789,4.965786901,4.26686217,EH,W
4.54056696,4.926686217,4.271749756,EH,W
4.545454545,4.902248289,4.271749756,EH,W
4.545454545,4.892473118,4.286412512,EH,W
4.550342131,4.81427175,4.281524927,EH,W
4.545454545,4.780058651,4.281524927,EH,W
0,0.488758553,4.022482893,EH,W
0,0.439882698,4.027370479,EH,W
0,0.483870968,4.002932551,EH,W
4.525904203,4.990224829,4.271749756,EH,W
4.54056696,4.990224829,4.286412512,EH,W
4.545454545,4.916911046,4.286412512,EH,W
4.550342131,4.877810362,4.296187683,EH,W
4.550342131,4.863147605,4.291300098,EH,W
0,2.101661779,4.130009775,EH,W
0,0.381231672,4.012707722,EH,W
0,0.400782014,4.017595308,EH,W
3.968719453,4.120234604,4.208211144,EH,W
4.49657869,5,4.286412512,EH,W
4.506353861,4.946236559,4.301075269,EH,W
0,0.557184751,4.007820137,EH,W
0,0.474095797,4.012707722,EH,W
3.514173998,3.377321603,4.134897361,EH,W
4.501466276,4.838709677,4.217986315,EH,W
4.516129032,4.887585533,4.227761486,EH,W
0,0.889540567,3.988269795,EH,W
0,0.522971652,3.99315738,EH,W
4.545454545,4.755620723,4.217986315,EH,W
0,0.635386119,3.968719453,EH,W
0,0.522971652,3.94916911,EH,W
4.58455523,5,4.301075269,EH,W
4.594330401,5,4.305962854,EH,W
4.594330401,5,4.31085044,EH,W
4.599217986,5,4.305962854,EH,W
4.599217986,4.990224829,4.305962854,EH,W
0,0.601173021,4.032258065,EH,W
4.555229717,4.848484848,4.252199413,EH,W
4.58455523,4.960899316,4.26686217,EH,W
4.58455523,4.936461388,4.26686217,EH,W
4.589442815,4.633431085,4.193548387,EH,W
0,0.552297165,4.007820137,EH,W
0,0.469208211,3.99315738,EH,W
4.530791789,4.657869013,4.271749756,EH,W
4.599217986,5,4.286412512,EH,W
4.604105572,5,4.286412512,EH,W
4.604105572,4.985337243,4.291300098,EH,W
4.613880743,4.965786901,4.291300098,EH,W
4.608993157,4.936461388,4.291300098,EH,W
4.608993157,4.907135875,4.305962854,EH,W
4.613880743,4.882697947,4.296187683,EH,W
0,0.615835777,4.061583578,EH,W
0,0.45943304,4.046920821,EH,W
0,0.478983382,4.012707722,EH,W
0,0.483870968,4.017595308,EH,W
4.623655914,5,4.398826979,EH,W
4.633431085,5,4.413489736,EH,W
4.633431085,5,4.442815249,EH,W
4.633431085,5,4.45259042,EH,W
4.633431085,4.990224829,4.442815249,EH,W
4.633431085,4.951124145,4.457478006,EH,W
4.633431085,4.926686217,4.45259042,EH,W
0,0.376344086,4.115347019,EH,W
0,0.210166178,4.130009775,EH,W
0,0.190615836,4.139784946,EH,W
0,0.215053763,4.134897361,EH,W
4.638318671,5,4.447702835,EH,W
4.643206256,4.95601173,4.45259042,EH,W
0,0.356793744,4.144672532,EH,W
0,0.097751711,4.149560117,EH,W
4.169110459,4.169110459,4.247311828,EH,W
4.340175953,4.208211144,4.257086999,EH,W
4.369501466,4.193548387,4.261974585,EH,W
4.379276637,4.213098729,4.26686217,EH,W
4.393939394,4.169110459,4.271749756,EH,W
0,0.493646139,3.99315738,EH,W
0,0.019550342,3.978494624,EH,W
0,0.039100684,3.998044966,EH,W
3.699902248,3.299120235,4.159335288,EH,W
4.428152493,4.2228739,4.237536657,EH,W
4.447702835,4.198435973,4.237536657,EH,W
4.45259042,4.203323558,4.242424242,EH,W
4.457478006,4.149560117,4.237536657,EH,W
0,0.083088954,3.944281525,EH,W
0,0.063538612,3.968719453,EH,W
0,0.092864125,3.988269795,EH,W
4.45259042,4.17888563,4.213098729,EH,W
4.477028348,4.349951124,4.2228739,EH,W
0,0.151515152,3.939393939,EH,W
0,0.210166178,3.914956012,EH,W
0,0.22971652,3.939393939,EH,W
0,0.278592375,3.934506354,EH,W
0,0.312805474,3.973607038,EH,W
0,0.3714565,3.934506354,EH,W
0,0.405669599,3.924731183,EH,W
0,0.425219941,3.954056696,EH,W
0,0.449657869,3.944281525,EH,W
0,0.493646139,3.929618768,EH,W
4.159335288,3.890518084,4.183773216,EH,W
4.467253177,4.467253177,4.217986315,EH,W
4.477028348,4.569892473,4.217986315,EH,W
4.491691105,4.599217986,4.217986315,EH,W
4.491691105,4.579667644,4.217986315,EH,W
4.49657869,4.594330401,4.217986315,EH,W
0,0.542521994,3.944281525,EH,W
0,0.557184751,3.978494624,EH,W
0,0.576735093,3.99315738,EH,W
0,0.635386119,3.954056696,EH,W
4.291300098,3.998044966,4.17888563,EH,W
0,0.703812317,3.919843597,EH,W
0,0.591397849,3.968719453,EH,W
4.413489736,4.188660802,4.198435973,EH,W
0,0.640273705,3.944281525,EH,W
0,0.650048876,3.924731183,EH,W
0,0.659824047,3.958944282,EH,W
0,0.855327468,3.968719453,EH,W
0,0.684261975,3.929618768,EH,W
4.501466276,4.550342131,4.203323558,EH,W
4.516129032,4.731182796,4.217986315,EH,W
4.525904203,4.745845552,4.227761486,EH,W
4.525904203,4.760508309,4.217986315,EH,W
4.530791789,4.736070381,4.232649071,EH,W
0,0.679374389,4.002932551,EH,W
0,0.684261975,3.998044966,EH,W
4.525904203,4.667644184,4.237536657,EH,W
4.535679374,4.85826002,4.247311828,EH,W
4.54056696,4.838709677,4.247311828,EH,W
4.545454545,4.838709677,4.247311828,EH,W
4.545454545,4.794721408,4.252199413,EH,W
0,0.650048876,3.988269795,EH,W
0,0.625610948,4.027370479,EH,W
0,0.650048876,4.012707722,EH,W
0,0.659824047,4.012707722,EH,W
4.408602151,4.54056696,4.242424242,EH,W
4.535679374,5,4.286412512,EH,W
0,0.728250244,4.012707722,EH,W
0,0.610948192,4.017595308,EH,W
0,0.654936461,4.022482893,EH,W
0,0.659824047,4.046920821,EH,W
0,0.674486804,4.03714565,EH,W
4.511241447,5,4.315738025,EH,W
0,0.596285435,4.046920821,EH,W
0,0.606060606,4.105571848,EH,W
4.467253177,4.677419355,4.305962854,EH,W
4.359726295,4.731182796,4.296187683,EH,W
0,0.337243402,4.046920821,EH,W
3.362658847,1.373411535,4.012707722,EH,W
0,0.327468231,3.963831867,EH,W
0,0.757575758,3.958944282,EH,W
0,2.179863148,4.090909091,EH,W
0,0.474095797,4.027370479,EH,W
4.58455523,4.565004888,4.26686217,EH,W
0,0.430107527,4.032258065,EH,W
0,2.751710655,4.183773216,EH,W
4.608993157,4.77028348,4.281524927,EH,W
0,0.454545455,4.007820137,EH,W
0,0.327468231,4.032258065,EH,W
4.54056696,4.550342131,4.276637341,EH,W
0,0.210166178,4.03714565,EH,W
0,0.171065494,3.998044966,EH,W
4.491691105,4.169110459,4.208211144,EH,W
0,0.410557185,3.978494624,EH,W
0,0.171065494,3.924731183,EH,W
0,4.662756598,2.302052786,S,SR
0,4.599217986,2.2971652,S,SR
0,4.535679374,2.321603128,S,SR
0,4.472140762,2.316715543,S,SR
0,4.413489736,2.326490714,S,SR
4.863147605,5,4.990224829,S,SR
4.868035191,5,4.985337243,S,SR
4.868035191,5,4.985337243,S,SR
4.868035191,5,4.985337243,S,SR
4.872922776,5,4.985337243,S,SR
4.872922776,5,4.985337243,S,SR
0,2.179863148,4.667644184,S,SR
0,1.915933529,4.701857283,S,SR
0,1.759530792,4.68230694,S,SR
0,1.754643206,4.68230694,S,SR
0,1.520039101,4.721407625,S,SR
4.819159335,5,4.965786901,S,SR
4.868035191,4.975562072,4.975562072,S,SR
4.868035191,4.819159335,4.985337243,S,SR
4.868035191,4.789833822,4.985337243,S,SR
4.872922776,4.780058651,4.985337243,S,SR
4.872922776,4.789833822,4.985337243,S,SR
4.872922776,4.794721408,4.985337243,S,SR
4.872922776,4.81427175,4.980449658,S,SR
4.872922776,4.828934506,4.985337243,S,SR
0,2.913000978,4.755620723,S,SR
0,2.287390029,4.706744868,S,SR
0,2.126099707,4.706744868,S,SR
0,2.008797654,4.731182796,S,SR
4.872922776,5,4.980449658,S,SR
4.872922776,4.907135875,4.985337243,S,SR
4.872922776,4.824046921,4.980449658,S,SR
4.877810362,4.819159335,4.985337243,S,SR
0,2.693059629,4.731182796,S,SR
0,2.282502444,4.721407625,S,SR
0,2.170087977,4.721407625,S,SR
4.868035191,5,4.985337243,S,SR
4.877810362,5,4.980449658,S,SR
4.877810362,4.931573803,4.985337243,S,SR
0,2.746823069,4.755620723,S,SR
0,2.326490714,4.731182796,S,SR
0,2.24340176,4.716520039,S,SR
0,2.209188661,4.701857283,S,SR
0,2.165200391,4.716520039,S,SR
4.882697947,5,4.980449658,S,SR
4.877810362,4.975562072,4.980449658,S,SR
4.877810362,4.951124145,4.985337243,S,SR
0,2.88856305,4.750733138,S,SR
0,2.644183773,4.701857283,S,SR
4.868035191,5,4.975562072,S,SR
