F-volt,V-volt,P-volt,Object,Object type
0,3.470185728,3.025415445,H,W
4.398826979,4.164222874,4.545454545,H,W
0,0.337243402,4.213098729,H,W
0,0.395894428,4.247311828,H,W
4.433040078,5,4.555229717,H,W
4.45259042,5,4.560117302,H,W
4.457478006,5,4.560117302,H,W
4.457478006,5,4.560117302,H,W
0,0.488758553,4.227761486,H,W
0,0.566959922,4.227761486,H,W
4.467253177,5,4.579667644,H,W
4.486803519,5,4.594330401,H,W
4.486803519,5,4.58455523,H,W
4.486803519,5,4.58455523,H,W
0.483870968,0.395894428,4.134897361,H,W
0,0.430107527,4.130009775,H,W
0,0.464320626,4.159335288,H,W
0,0.493646139,4.169110459,H,W
0,0.610948192,4.134897361,H,W
4.486803519,5,4.579667644,H,W
0.097751711,0.410557185,4.173998045,H,W
0,0.464320626,4.164222874,H,W
4.472140762,5,4.58455523,H,W
4.486803519,5,4.58455523,H,W
0,0.630498534,4.213098729,H,W
0,0.654936461,4.183773216,H,W
4.49657869,5,4.589442815,H,W
4.506353861,5,4.594330401,H,W
4.511241447,5,4.594330401,H,W
4.511241447,5,4.589442815,H,W
0.063538612,0.562072336,4.159335288,H,W
0,0.650048876,4.130009775,H,W
4.359726295,4.555229717,4.569892473,H,W
4.481915934,5,4.589442815,H,W
4.49657869,5,4.594330401,H,W
4.506353861,5,4.594330401,H,W
0.102639296,0.488758553,4.2228739,H,W
0,0.562072336,4.198435973,H,W
0,0.576735093,4.2228739,H,W
0,0.669599218,4.183773216,H,W
4.481915934,5,4.589442815,H,W
4.49657869,5,4.594330401,H,W
4.49657869,5,4.589442815,H,W
0.405669599,0.679374389,4.213098729,H,W
0,0.698924731,4.2228739,H,W
0,0.772238514,4.213098729,H,W
0,0.7771261,4.242424242,H,W
4.477028348,5,4.594330401,H,W
4.49657869,5,4.594330401,H,W
4.491691105,5,4.589442815,H,W
0.068426197,0.811339198,4.281524927,H,W
0,0.782013685,4.291300098,H,W
0,1.129032258,4.315738025,H,W
4.261974585,4.286412512,4.545454545,H,W
4.433040078,5,4.574780059,H,W
4.447702835,5,4.574780059,H,W
4.45259042,5,4.565004888,H,W
4.457478006,5,4.565004888,H,W
4.457478006,5,4.579667644,H,W
4.462365591,4.985337243,4.574780059,H,W
4.467253177,4.975562072,4.574780059,H,W
4.472140762,5,4.574780059,H,W
4.467253177,4.975562072,4.574780059,H,W
4.472140762,4.926686217,4.579667644,H,W
4.472140762,4.95601173,4.579667644,H,W
4.467253177,4.936461388,4.574780059,H,W
4.467253177,4.872922776,4.569892473,H,W
4.472140762,4.897360704,4.569892473,H,W
4.472140762,4.85826002,4.574780059,H,W
4.472140762,4.868035191,4.574780059,H,W
4.472140762,4.897360704,4.579667644,H,W
4.477028348,4.838709677,4.565004888,H,W
4.477028348,4.838709677,4.574780059,H,W
4.477028348,4.824046921,4.574780059,H,W
4.472140762,4.81427175,4.574780059,H,W
4.472140762,4.868035191,4.574780059,H,W
0,0.972629521,4.154447703,H,W
0,0.982404692,4.139784946,H,W
0,1.080156403,4.139784946,H,W
4.447702835,5,4.565004888,H,W
4.486803519,5,4.579667644,H,W
4.49657869,5,4.574780059,H,W
4.49657869,5,4.574780059,H,W
4.49657869,5,4.58455523,H,W
4.49657869,5,4.579667644,H,W
0.254154448,0.860215054,4.144672532,H,W
0.14173998,0.879765396,4.110459433,H,W
0.004887586,0.904203324,4.105571848,H,W
0,0.933528837,4.110459433,H,W
0,0.928641251,4.12512219,H,W
0,0.933528837,4.12512219,H,W
0,0.91886608,4.159335288,H,W
0,1.001955034,4.120234604,H,W
0,0.972629521,4.164222874,H,W
0,0.982404692,4.149560117,H,W
0,1.036168133,4.120234604,H,W
0,1.041055718,4.154447703,H,W
0,1.026392962,4.159335288,H,W
0,1.070381232,4.12512219,H,W
0,1.05083089,4.149560117,H,W
0,1.114369501,4.17888563,H,W
0,1.1485826,4.12512219,H,W
4.389051808,4.887585533,4.569892473,H,W
