F-volt,V-volt,P-volt,Object,Object Name
0,1.021505376,1.920821114,H,PLA
0,1.045943304,1.520039101,H,PLA
4.643206256,5,4.985337243,H,PLA
4.662756598,5,4.985337243,H,PLA
4.662756598,5,4.985337243,H,PLA
0,1.158357771,4.193548387,H,PLA
4.613880743,4.863147605,4.985337243,H,PLA
4.692082111,5,4.990224829,H,PLA
4.692082111,5,4.995112414,H,PLA
4.692082111,5,4.995112414,H,PLA
4.696969697,5,4.995112414,H,PLA
0,1.852394917,4.325513196,H,PLA
0,1.783968719,3.709677419,H,PLA
0,1.710654936,3.729227761,H,PLA
4.692082111,5,4.995112414,H,PLA
4.696969697,5,4.995112414,H,PLA
4.696969697,5,4.990224829,H,PLA
4.696969697,5,4.990224829,H,PLA
0,1.559139785,4.325513196,H,PLA
0,1.436950147,3.797653959,H,PLA
0,1.368523949,3.631476051,H,PLA
0,1.353861193,3.362658847,H,PLA
0,1.275659824,3.279569892,H,PLA
4.648093842,5,4.985337243,H,PLA
4.68230694,5,4.985337243,H,PLA
4.692082111,5,4.990224829,H,PLA
4.692082111,5,4.990224829,H,PLA
4.696969697,5,4.990224829,H,PLA
0,1.197458456,4.261974585,H,PLA
0,1.099706745,3.655913978,H,PLA
0,1.021505376,3.636363636,H,PLA
0,0.987292278,3.220918866,H,PLA
0,0.953079179,3.108504399,H,PLA
4.672531769,5,4.990224829,H,PLA
4.692082111,5,4.995112414,H,PLA
4.692082111,5,4.990224829,H,PLA
4.696969697,5,4.990224829,H,PLA
0,0.293255132,4.007820137,H,PLA
0,0.312805474,3.367546432,H,PLA
0,0.347018573,3.220918866,H,PLA
4.49657869,4.090909091,4.68230694,H,PLA
4.701857283,5,4.990224829,H,PLA
4.706744868,5,4.995112414,H,PLA
4.711632454,5,4.990224829,H,PLA
4.701857283,5,4.995112414,H,PLA
4.711632454,5,4.990224829,H,PLA
4.711632454,4.970674487,4.995112414,H,PLA
4.711632454,4.907135875,4.990224829,H,PLA
4.706744868,4.907135875,4.995112414,H,PLA
4.711632454,4.872922776,4.990224829,H,PLA
4.711632454,4.838709677,4.985337243,H,PLA
4.711632454,4.799608993,4.990224829,H,PLA
4.711632454,4.760508309,4.995112414,H,PLA
0,0.698924731,3.875855327,H,PLA
0,0.772238514,3.367546432,H,PLA
0,0.7771261,3.049853372,H,PLA
0,0.782013685,3.167155425,H,PLA
0,0.845552297,2.751710655,H,PLA
0,0.845552297,2.653958944,H,PLA
0,0.87487781,2.556207234,H,PLA
0.004887586,0.865102639,2.238514174,H,PLA
0,0.840664712,2.375366569,H,PLA
4.696969697,5,4.995112414,H,PLA
4.696969697,5,4.990224829,H,PLA
4.701857283,5,4.995112414,H,PLA
4.701857283,5,4.990224829,H,PLA
4.706744868,5,4.995112414,H,PLA
4.706744868,5,4.990224829,H,PLA
4.706744868,5,4.990224829,H,PLA
4.706744868,4.965786901,4.995112414,H,PLA
4.711632454,4.946236559,4.995112414,H,PLA
0,0.674486804,3.797653959,H,PLA
0,0.650048876,3.651026393,H,PLA
0,0.640273705,3.465298143,H,PLA
4.706744868,4.980449658,4.995112414,H,PLA
4.711632454,5,4.990224829,H,PLA
4.711632454,5,4.995112414,H,PLA
4.711632454,5,4.995112414,H,PLA
4.716520039,5,4.995112414,H,PLA
4.716520039,5,4.995112414,H,PLA
0.014662757,1.612903226,4.056695992,H,PLA
0,1.524926686,3.406647116,H,PLA
0,1.471163245,3.250244379,H,PLA
4.599217986,5,4.985337243,H,PLA
4.701857283,5,4.990224829,H,PLA
4.701857283,5,4.995112414,H,PLA
0,1.397849462,3.782991202,H,PLA
4.711632454,5,4.995112414,H,PLA
4.711632454,5,4.995112414,H,PLA
4.716520039,5,4.995112414,H,PLA
4.721407625,5,4.995112414,H,PLA
4.721407625,5,4.995112414,H,PLA
4.721407625,5,4.995112414,H,PLA
4.721407625,5,4.990224829,H,PLA
4.716520039,5,4.995112414,H,PLA
4.721407625,5,4.995112414,H,PLA
4.721407625,4.985337243,4.990224829,H,PLA
0.215053763,0.576735093,3.714565005,H,PLA
0,0.566959922,2.917888563,H,PLA
0.004887586,0.542521994,2.707722385,H,PLA
4.565004888,4.408602151,4.985337243,H,PLA
4.721407625,5,4.995112414,H,PLA
4.72629521,5,4.990224829,H,PLA
4.731182796,5,4.995112414,H,PLA
4.72629521,5,4.995112414,H,PLA
4.72629521,5,5,H,PLA
4.72629521,5,4.995112414,H,PLA
4.731182796,4.946236559,4.995112414,H,PLA
0.024437928,0,3.255131965,H,PLA
0,0,2.825024438,H,PLA
0,0,2.634408602,H,PLA
0,0.063538612,2.521994135,H,PLA
0.004887586,0.063538612,2.184750733,H,PLA
0.004887586,0.102639296,2.140762463,H,PLA
4.687194526,4.799608993,4.995112414,H,PLA
4.716520039,5,4.995112414,H,PLA
4.721407625,5,4.995112414,H,PLA
4.731182796,5,5,H,PLA
4.721407625,5,4.995112414,H,PLA
4.72629521,5,4.995112414,H,PLA
4.72629521,5,4.995112414,H,PLA
4.731182796,4.946236559,4.995112414,H,PLA
4.721407625,4.863147605,4.995112414,H,PLA
0,1.441837732,3.998044966,H,PLA
0,1.407624633,3.460410557,H,PLA
0.004887586,1.397849462,3.450635386,H,PLA
0,1.344086022,3.225806452,H,PLA
0,1.260997067,2.927663734,H,PLA
0,1.202346041,2.741935484,H,PLA
4.721407625,5,4.995112414,H,PLA
4.72629521,5,4.995112414,H,PLA
4.72629521,5,4.990224829,H,PLA
4.731182796,5,4.995112414,H,PLA
4.731182796,5,4.995112414,H,PLA
0,1.480938416,3.431085044,H,PLA
0,1.441837732,3.431085044,H,PLA
4.711632454,5,4.995112414,H,PLA
4.716520039,5,4.995112414,H,PLA
0,0.708699902,3.558162268,H,PLA
4.706744868,4.711632454,4.995112414,H,PLA
4.731182796,5,4.990224829,H,PLA
4.731182796,5,5,H,PLA
4.731182796,5,4.995112414,H,PLA
4.731182796,5,4.990224829,H,PLA
0,0.161290323,3.416422287,H,PLA
0,0.161290323,2.908113392,H,PLA
4.731182796,3.900293255,4.990224829,H,PLA
4.736070381,4.056695992,4.995112414,H,PLA
4.736070381,4.022482893,4.995112414,H,PLA
4.736070381,4.08113392,4.995112414,H,PLA
0,0.210166178,3.250244379,H,PLA
0.004887586,0.171065494,2.746823069,H,PLA
0,0.180840665,2.751710655,H,PLA
4.731182796,3.34799609,4.995112414,H,PLA
4.731182796,3.646138807,4.995112414,H,PLA
4.736070381,3.739002933,4.990224829,H,PLA
4.736070381,3.787878788,4.995112414,H,PLA
4.731182796,3.802541544,4.995112414,H,PLA
4.736070381,3.729227761,4.990224829,H,PLA
4.736070381,3.709677419,5,H,PLA
4.736070381,3.71945259,4.990224829,H,PLA
4.736070381,3.655913978,5,H,PLA
4.736070381,3.660801564,4.995112414,H,PLA
0.024437928,0.361681329,3.470185728,H,PLA
0,0.444770283,3.064516129,H,PLA
0,0.469208211,2.815249267,H,PLA
0.004887586,0.430107527,2.761485826,H,PLA
0,0.454545455,2.409579668,H,PLA
0,0.444770283,2.541544477,H,PLA
0,0.430107527,2.258064516,H,PLA
0,0.425219941,2.174975562,H,PLA
0,0.41544477,2.047898338,H,PLA
0,0.454545455,1.65200391,H,PLA
0,0.410557185,1.847507331,H,PLA
0,0.41544477,1.42228739,H,PLA
4.721407625,3.211143695,4.990224829,H,PLA
4.731182796,3.431085044,4.995112414,H,PLA
4.736070381,3.470185728,4.995112414,H,PLA
4.736070381,3.475073314,4.995112414,H,PLA
4.736070381,3.484848485,5,H,PLA
0,0,3.753665689,H,PLA
0,0.171065494,3.059628543,H,PLA
4.736070381,3.313782991,4.995112414,H,PLA
4.736070381,3.479960899,4.995112414,H,PLA
4.740957967,3.499511241,4.995112414,H,PLA
0,0.786901271,3.631476051,H,PLA
0,0.796676442,2.956989247,H,PLA
0,0.796676442,2.986314761,H,PLA
0,0.767350929,2.727272727,H,PLA
0,0.708699902,2.727272727,H,PLA
4.731182796,4.711632454,5,H,PLA
4.731182796,4.838709677,4.990224829,H,PLA
4.731182796,4.887585533,4.995112414,H,PLA
4.740957967,4.877810362,5,H,PLA
4.623655914,1.177908113,4.403714565,H,PLA
4.6285435,3.734115347,4.990224829,H,PLA
0,1.138807429,3.910068426,H,PLA
0,0.997067449,3.655913978,H,PLA
0,0.493646139,3.235581623,H,PLA
0,0.303030303,2.864125122,H,PLA
1.764418377,2.331378299,4.247311828,S,SR
