F-volt,V-volt,P-volt,Object,Object Name
0,1.363636364,1.69599218,H,PLA
0.004887586,1.314760508,1.769305963,H,PLA
0.014662757,1.300097752,1.51026393,H,PLA
0,1.265884653,1.593352884,H,PLA
4.662756598,5,4.990224829,H,PLA
4.677419355,5,4.995112414,H,PLA
4.677419355,5,4.985337243,H,PLA
0,2.585532747,4.696969697,H,PLA
0.004887586,2.619745846,4.648093842,H,PLA
4.68230694,5,4.995112414,H,PLA
4.687194526,5,4.990224829,H,PLA
0.004887586,1.632453568,4.853372434,H,PLA
4.555229717,4.17888563,4.980449658,H,PLA
4.677419355,5,4.995112414,H,PLA
4.677419355,5,4.990224829,H,PLA
0,1.265884653,4.701857283,H,PLA
4.652981427,4.369501466,4.990224829,H,PLA
4.692082111,5,4.990224829,H,PLA
4.696969697,5,4.995112414,H,PLA
0.004887586,1.00684262,4.565004888,H,PLA
4.68230694,2.971652004,4.990224829,H,PLA
4.692082111,2.820136852,4.995112414,H,PLA
4.692082111,2.751710655,4.995112414,H,PLA
0,0.073313783,4.657869013,H,PLA
0.009775171,0.063538612,4.608993157,H,PLA
0,0.024437928,4.071358749,H,PLA
4.692082111,5,4.990224829,H,PLA
4.696969697,5,4.995112414,H,PLA
4.701857283,5,4.995112414,H,PLA
4.701857283,5,4.995112414,H,PLA
4.701857283,5,4.995112414,H,PLA
0.004887586,0.977517107,4.594330401,H,PLA
0,0.953079179,4.369501466,H,PLA
0,0.889540567,4.061583578,H,PLA
0,0.860215054,3.924731183,H,PLA
0.004887586,0.82111437,3.616813294,H,PLA
4.677419355,3.357771261,4.990224829,H,PLA
4.692082111,3.592375367,4.995112414,H,PLA
4.696969697,3.651026393,4.990224829,H,PLA
4.696969697,3.660801564,4.995112414,H,PLA
4.692082111,3.675464321,4.995112414,H,PLA
4.692082111,3.66568915,4.995112414,H,PLA
0,0.322580645,4.516129032,H,PLA
0.004887586,0.298142717,4.335288368,H,PLA
0.004887586,0.307917889,4.110459433,H,PLA
0,0.298142717,3.753665689,H,PLA
0,0.278592375,3.274682307,H,PLA
0,0.22971652,2.976539589,H,PLA
0.004887586,0.303030303,2.834799609,H,PLA
0.004887586,0.322580645,2.609970674,H,PLA
0,0.307917889,2.282502444,H,PLA
0.004887586,0.288367546,2.101661779,H,PLA
0,0.27370479,2.06744868,H,PLA
0.004887586,0.298142717,1.901270772,H,PLA
0.004887586,0.322580645,1.656891496,H,PLA
0,0.312805474,1.735092864,H,PLA
4.696969697,5,4.995112414,H,PLA
4.701857283,5,4.995112414,H,PLA
4.706744868,5,4.990224829,H,PLA
4.701857283,4.990224829,4.990224829,H,PLA
0.004887586,0.41544477,4.692082111,H,PLA
0,0.386119257,4.408602151,H,PLA
0.004887586,0.3714565,4.105571848,H,PLA
0,0.381231672,3.729227761,H,PLA
0.004887586,0.366568915,3.523949169,H,PLA
4.701857283,2.639296188,4.990224829,H,PLA
4.706744868,2.7028348,4.995112414,H,PLA
4.701857283,2.737047898,4.985337243,H,PLA
0,0.18572825,4.511241447,H,PLA
0.004887586,0.171065494,4.569892473,H,PLA
4.692082111,5,4.985337243,H,PLA
4.706744868,5,4.995112414,H,PLA
4.706744868,5,4.995112414,H,PLA
4.711632454,5,4.990224829,H,PLA
4.711632454,5,4.995112414,H,PLA
0.004887586,1.300097752,4.68230694,H,PLA
4.701857283,4.271749756,4.995112414,H,PLA
4.672531769,4.03714565,4.990224829,H,PLA
4.706744868,4.721407625,4.995112414,H,PLA
4.706744868,4.706744868,5,H,PLA
4.711632454,4.638318671,4.995112414,H,PLA
0,0.337243402,4.545454545,H,PLA
0.004887586,0.234604106,4.467253177,H,PLA
4.662756598,4.130009775,4.990224829,H,PLA
4.711632454,5,4.995112414,H,PLA
4.711632454,5,4.995112414,H,PLA
4.716520039,5,4.995112414,H,PLA
4.716520039,5,4.995112414,H,PLA
4.716520039,5,4.995112414,H,PLA
4.716520039,5,4.995112414,H,PLA
4.711632454,5,4.995112414,H,PLA
4.716520039,5,4.995112414,H,PLA
0,1.212121212,4.579667644,H,PLA
0.004887586,1.119257087,4.45259042,H,PLA
4.696969697,3.646138807,4.990224829,H,PLA
0,0.219941349,4.672531769,H,PLA
0.004887586,0.175953079,4.648093842,H,PLA
4.701857283,4.687194526,4.995112414,H,PLA
4.706744868,4.696969697,4.995112414,H,PLA
4.706744868,4.633431085,4.995112414,H,PLA
0,0.259042033,4.648093842,H,PLA
4.701857283,3.919843597,4.990224829,H,PLA
4.711632454,0,4.740957967,H,PLA
0,0.557184751,4.6285435,H,PLA
0,0.474095797,4.393939394,H,PLA
4.711632454,4.833822092,4.995112414,H,PLA
4.716520039,0.73313783,4.833822092,H,PLA
0.004887586,1.031280547,4.574780059,H,PLA
4.692082111,5,4.995112414,H,PLA
0.004887586,0.327468231,4.6285435,H,PLA
0.004887586,0.278592375,4.662756598,H,PLA
4.696969697,4.237536657,4.995112414,H,PLA
0,0.87487781,4.799608993,H,PLA
0.009775171,0.850439883,4.652981427,H,PLA
4.711632454,5,4.995112414,H,PLA
4.716520039,5,4.995112414,H,PLA
4.716520039,5,5,H,PLA
4.716520039,5,4.995112414,H,PLA
0.004887586,1.158357771,4.706744868,H,PLA
0.004887586,1.177908113,4.501466276,H,PLA
0.004887586,1.10459433,4.12512219,H,PLA
0,1.026392962,3.978494624,H,PLA
0,1.00684262,3.48973607,H,PLA
0.004887586,0.972629521,3.313782991,H,PLA
0,0.865102639,2.981427175,H,PLA
0.004887586,0.865102639,2.727272727,H,PLA
0.004887586,0.816226784,2.712609971,H,PLA
0.004887586,0.791788856,2.531769306,H,PLA
0.004887586,0.796676442,2.370478983,H,PLA
0.004887586,0.811339198,2.126099707,H,PLA
0.004887586,0.767350929,2.057673509,H,PLA
0,0.767350929,1.867057674,H,PLA
0.004887586,0.752688172,1.891495601,H,PLA
0.004887586,0.762463343,1.735092864,H,PLA
0.009775171,0.757575758,1.783968719,H,PLA
0.004887586,0.7771261,1.710654936,H,PLA
0,0.767350929,1.480938416,H,PLA
0,0.757575758,1.632453568,H,PLA
0.009775171,0.757575758,1.373411535,H,PLA
0,0.742913001,1.471163245,H,PLA
0,0.786901271,1.329423265,H,PLA
4.706744868,4.2228739,4.995112414,H,PLA
4.711632454,4.305962854,5,H,PLA
4.716520039,4.349951124,4.995112414,H,PLA
4.711632454,4.340175953,5,H,PLA
4.716520039,4.359726295,4.995112414,H,PLA
0,0.610948192,4.442815249,H,PLA
0,0.596285435,4.286412512,H,PLA
0,0.586510264,4.066471163,H,PLA
4.692082111,5,4.995112414,H,PLA
4.701857283,5,4.990224829,H,PLA
0.004887586,0.469208211,4.506353861,H,PLA
0.004887586,0.41544477,4.511241447,H,PLA
0,0.376344086,4.090909091,H,PLA
4.716520039,3.998044966,4.995112414,H,PLA
4.716520039,3.988269795,4.995112414,H,PLA
4.716520039,4.022482893,5,H,PLA
0.004887586,0.50342131,4.506353861,H,PLA
0.004887586,0.420332356,4.257086999,H,PLA
0,0.386119257,3.973607038,H,PLA
4.711632454,2.380254154,5,H,PLA
4.716520039,2.478005865,5,H,PLA
4.716520039,2.487781036,4.995112414,H,PLA
0,0.131964809,4.589442815,H,PLA
0,0.068426197,4.340175953,H,PLA
4.692082111,3.890518084,4.995112414,H,PLA
4.711632454,4.115347019,4.990224829,H,PLA
4.716520039,4.027370479,4.990224829,H,PLA
0.004887586,0.039100684,4.335288368,H,PLA
0,0.034213099,4.398826979,H,PLA
4.716520039,4.81427175,4.995112414,H,PLA
4.721407625,4.863147605,5,H,PLA
4.72629521,4.907135875,4.995112414,H,PLA
0,1.080156403,4.560117302,H,PLA
0.004887586,1.085043988,4.535679374,H,PLA
0,1.045943304,4.271749756,H,PLA
4.716520039,3.460410557,4.990224829,H,PLA
4.721407625,3.499511241,4.995112414,H,PLA
4.721407625,3.528836755,4.995112414,H,PLA
0,0.288367546,4.599217986,H,PLA
4.716520039,4.305962854,4.995112414,H,PLA
4.721407625,4.398826979,4.995112414,H,PLA
4.716520039,4.428152493,4.990224829,H,PLA
0,0.488758553,4.49657869,H,PLA
4.711632454,3.323558162,4.990224829,H,PLA
4.574780059,3.255131965,4.995112414,H,PLA
4.701857283,5,4.990224829,H,PLA
4.711632454,5,4.995112414,H,PLA
4.706744868,5,4.995112414,H,PLA
4.706744868,4.995112414,5,H,PLA
0,0.18572825,4.45259042,H,PLA
0,0.092864125,4.374389052,H,PLA
4.711632454,4.809384164,4.995112414,H,PLA
4.716520039,4.897360704,5,H,PLA
4.716520039,4.872922776,4.995112414,H,PLA
4.721407625,4.848484848,4.995112414,H,PLA
4.721407625,4.760508309,4.995112414,H,PLA
0.004887586,0.3714565,4.662756598,H,PLA
0,0.347018573,4.364613881,H,PLA
0.004887586,0.337243402,3.910068426,H,PLA
0.004887586,4.594330401,1.871945259,S,SR
0,4.545454545,2.326490714,S,SR
0,4.437927664,2.360703812,S,SR
0,3.890518084,2.399804497,S,SR
0,3.768328446,2.517106549,S,SR
0,3.758553275,2.609970674,S,SR
0,3.655913978,2.746823069,S,SR
0,3.592375367,2.512218964,S,SR
0,3.543499511,2.653958944,S,SR
0,3.465298143,2.609970674,S,SR
4.809384164,5,4.990224829,S,SR
0,4.017595308,2.468230694,S,SR
0,3.201368524,3.132942326,S,SR
4.81427175,5,4.995112414,S,SR
4.819159335,4.794721408,4.985337243,S,SR
4.81427175,4.736070381,4.990224829,S,SR
0,4.550342131,1.348973607,S,SR
0,4.032258065,1.984359726,S,SR
4.824046921,4.926686217,4.990224829,S,SR
0,3.274682307,3.685239492,S,SR
4.824046921,4.965786901,4.985337243,S,SR
4.017595308,3.787878788,4.985337243,S,SR
4.833822092,4.921798631,4.990224829,S,SR
4.828934506,4.736070381,4.990224829,S,SR
0,5,4.58455523,S,SR
4.838709677,4.892473118,4.990224829,S,SR
4.828934506,4.701857283,4.985337243,S,SR
4.828934506,4.594330401,4.990224829,S,SR
4.828934506,4.594330401,4.990224829,S,SR
4.828934506,4.555229717,4.990224829,S,SR
0,3.846529814,0.982404692,S,SR
4.838709677,5,4.990224829,S,SR
4.838709677,4.760508309,4.990224829,S,SR
4.740957967,5,4.985337243,S,SR
4.838709677,4.892473118,4.985337243,S,SR
0,2.854349951,0.928641251,S,SR
4.833822092,5,4.985337243,S,SR
4.838709677,4.77028348,4.990224829,S,SR
4.516129032,3.983382209,4.985337243,S,SR
4.843597263,4.995112414,4.985337243,S,SR
4.745845552,5,4.990224829,S,SR
4.843597263,4.985337243,4.985337243,S,SR
4.696969697,5,4.990224829,S,SR
4.843597263,5,4.990224829,S,SR
0,5,1.568914956,S,SR
4.848484848,5,4.985337243,S,SR
0,5,0.322580645,S,SR
4.848484848,5,4.995112414,S,SR
0,5,0.410557185,S,SR
4.833822092,5,4.990224829,S,SR
4.848484848,4.975562072,4.985337243,S,SR
4.843597263,4.848484848,4.990224829,S,SR
0,5,2.463343109,S,SR
4.828934506,5,4.985337243,S,SR
4.848484848,4.946236559,4.990224829,S,SR
4.848484848,4.828934506,4.990224829,S,SR
4.838709677,4.789833822,4.985337243,S,SR
4.843597263,4.740957967,4.985337243,S,SR
4.843597263,4.765395894,4.990224829,S,SR
4.843597263,4.765395894,4.985337243,S,SR
0,2.668621701,2.057673509,S,SR
4.780058651,5,4.985337243,S,SR
4.848484848,5,4.990224829,S,SR
4.848484848,4.863147605,4.990224829,S,SR
4.775171065,5,4.985337243,S,SR
4.848484848,5,4.990224829,S,SR
4.848484848,4.941348974,4.990224829,S,SR
4.784946237,5,4.990224829,S,SR
4.853372434,5,4.985337243,S,SR
4.848484848,4.887585533,4.990224829,S,SR
0,5,1.588465298,S,SR
4.848484848,5,4.990224829,S,SR
4.848484848,4.951124145,4.985337243,S,SR
4.848484848,4.872922776,4.985337243,S,SR
0,5,2.072336266,S,SR
4.848484848,5,4.985337243,S,SR
4.853372434,4.995112414,4.985337243,S,SR
4.853372434,4.907135875,4.985337243,S,SR
4.648093842,4.706744868,4.990224829,S,SR
4.848484848,5,4.990224829,S,SR
4.853372434,5,4.990224829,S,SR
0,5,2.360703812,S,SR
4.848484848,5,4.985337243,S,SR
4.853372434,5,4.985337243,S,SR
4.853372434,4.931573803,4.990224829,S,SR
0,5,2.306940371,S,SR
4.848484848,5,4.995112414,S,SR
4.853372434,5,4.985337243,S,SR
4.853372434,4.892473118,4.985337243,S,SR
4.853372434,4.81427175,4.990224829,S,SR
4.853372434,4.775171065,4.985337243,S,SR
4.853372434,4.77028348,4.990224829,S,SR
4.853372434,4.750733138,4.990224829,S,SR
4.853372434,4.721407625,4.985337243,S,SR
4.848484848,4.740957967,4.990224829,S,SR
4.853372434,4.721407625,4.985337243,S,SR
0,5,2.346041056,S,SR
4.677419355,5,4.990224829,S,SR
4.85826002,5,4.990224829,S,SR
4.853372434,5,4.990224829,S,SR
4.848484848,4.91202346,4.985337243,S,SR
4.848484848,4.819159335,4.990224829,S,SR
0,5,2.38514174,S,SR
0,5,3.054740958,S,SR
4.853372434,5,4.985337243,S,SR
4.853372434,5,4.985337243,S,SR
4.853372434,4.926686217,4.985337243,S,SR
4.853372434,4.882697947,4.985337243,S,SR
0,5,0.640273705,S,SR
0,5,2.609970674,S,SR
0,5,3.357771261,S,SR
4.809384164,5,4.985337243,S,SR
4.853372434,5,4.990224829,S,SR
4.853372434,5,4.985337243,S,SR
4.853372434,4.941348974,4.990224829,S,SR
4.853372434,4.926686217,4.985337243,S,SR
0,5,1.339198436,S,SR
0,5,2.766373412,S,SR
0,4.946236559,3.313782991,S,SR
4.853372434,5,4.985337243,S,SR
4.853372434,5,4.985337243,S,SR
